algorithm,name,description,qgis_output_type
native:rasterlayerproperties,CRS_AUTHID,CRS authority identifier,outputString
native:rasterlayerproperties,EXTENT,Extent,outputString
native:rasterlayerproperties,HAS_NODATA_VALUE,Band has a nodata value set,outputBoolean
native:rasterlayerproperties,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:rasterlayerproperties,NODATA_VALUE,Band nodata value,outputNumber
native:rasterlayerproperties,PIXEL_HEIGHT,Pixel size (height) in map units,outputNumber
native:rasterlayerproperties,PIXEL_WIDTH,Pixel size (width) in map units,outputNumber
native:rasterlayerproperties,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:rasterlayerproperties,X_MAX,Maximum x-coordinate,outputNumber
native:rasterlayerproperties,X_MIN,Minimum x-coordinate,outputNumber
native:rasterlayerproperties,Y_MAX,Maximum y-coordinate,outputNumber
native:rasterlayerproperties,Y_MIN,Minimum y-coordinate,outputNumber
native:rasterlayerstatistics,MAX,Maximum value,outputNumber
native:rasterlayerstatistics,MEAN,Mean value,outputNumber
native:rasterlayerstatistics,MIN,Minimum value,outputNumber
native:rasterlayerstatistics,OUTPUT_HTML_FILE,Statistics,outputHtml
native:rasterlayerstatistics,RANGE,Range,outputNumber
native:rasterlayerstatistics,STD_DEV,Standard deviation,outputNumber
native:rasterlayerstatistics,SUM,Sum,outputNumber
native:rasterlayerstatistics,SUM_OF_SQUARES,Sum of the squares,outputNumber
native:rasterlayeruniquevaluesreport,CRS_AUTHID,CRS authority identifier,outputString
native:rasterlayeruniquevaluesreport,EXTENT,Extent,outputString
native:rasterlayeruniquevaluesreport,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:rasterlayeruniquevaluesreport,NODATA_PIXEL_COUNT,NODATA pixel count,outputNumber
native:rasterlayeruniquevaluesreport,OUTPUT_HTML_FILE,Unique values report,outputHtml
native:rasterlayeruniquevaluesreport,OUTPUT_TABLE,Unique values table,outputVector
native:rasterlayeruniquevaluesreport,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:rasterlayeruniquevaluesreport,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:rasterlayerzonalstats,CRS_AUTHID,CRS authority identifier,outputString
native:rasterlayerzonalstats,EXTENT,Extent,outputString
native:rasterlayerzonalstats,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:rasterlayerzonalstats,NODATA_PIXEL_COUNT,NODATA pixel count,outputNumber
native:rasterlayerzonalstats,OUTPUT_TABLE,Statistics,outputVector
native:rasterlayerzonalstats,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:rasterlayerzonalstats,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:rasterlogicalor,CRS_AUTHID,CRS authority identifier,outputString
native:rasterlogicalor,EXTENT,Extent,outputString
native:rasterlogicalor,FALSE_PIXEL_COUNT,False pixel count,outputNumber
native:rasterlogicalor,HEIGHT_IN_PIXELS,Height in pixels,outputNumber
native:rasterlogicalor,NODATA_PIXEL_COUNT,NODATA pixel count,outputNumber
native:rasterlogicalor,OUTPUT,Output layer,outputRaster
native:rasterlogicalor,TOTAL_PIXEL_COUNT,Total pixel count,outputNumber
native:rasterlogicalor,TRUE_PIXEL_COUNT,True pixel count,outputNumber
native:rasterlogicalor,WIDTH_IN_PIXELS,Width in pixels,outputNumber
native:rastersampling,OUTPUT,Sampled,outputVector
native:rastersurfacevolume,AREA,Area,outputNumber
native:rastersurfacevolume,OUTPUT_HTML_FILE,Surface volume report,outputHtml
native:rastersurfacevolume,OUTPUT_TABLE,Surface volume table,outputVector
native:rastersurfacevolume,PIXEL_COUNT,Pixel count,outputNumber
native:rastersurfacevolume,VOLUME,Volume,outputNumber
native:reclassifybylayer,OUTPUT,Reclassified raster,outputRaster
native:reclassifybytable,OUTPUT,Reclassified raster,outputRaster
native:rectanglesovalsdiamonds,OUTPUT,Polygon,outputVector
native:refactorfields,OUTPUT,Refactored,outputVector
native:removeduplicatesbyattribute,DUPLICATES,Filtered (duplicates),outputVector
native:removeduplicatesbyattribute,DUPLICATE_COUNT,Count of discarded duplicate records,outputNumber
native:removeduplicatesbyattribute,OUTPUT,Filtered (no duplicates),outputVector
native:removeduplicatesbyattribute,RETAINED_COUNT,Count of retained records,outputNumber
native:removeduplicatevertices,OUTPUT,Cleaned,outputVector
native:removenullgeometries,NULL_OUTPUT,Null geometries,outputVector
native:removenullgeometries,OUTPUT,Non null geometries,outputVector
native:renamelayer,OUTPUT,Layer,outputLayer
native:renametablefield,OUTPUT,Renamed,outputVector
native:repairshapefile,OUTPUT,Repaired layer,outputVector
native:reprojectlayer,OUTPUT,Reprojected,outputVector
native:rescaleraster,OUTPUT,Rescaled,outputRaster
native:retainfields,OUTPUT,Retained fields,outputVector
native:reverselinedirection,OUTPUT,Reversed,outputVector
native:rotatefeatures,OUTPUT,Rotated,outputVector
native:roundness,OUTPUT,Roundness,outputVector
native:roundrastervalues,OUTPUT,Output raster,outputRaster
native:ruggednessindex,OUTPUT,Ruggedness,outputRaster
native:savefeatures,FILE_PATH,File name and path,outputString
native:savefeatures,LAYER_NAME,Layer name,outputString
native:savefeatures,OUTPUT,Saved features,outputFile
native:savelog,OUTPUT,Log file,outputHtml
native:saveselectedfeatures,OUTPUT,Selected features,outputVector
native:segmentizebymaxangle,OUTPUT,Segmentized,outputVector
native:segmentizebymaxdistance,OUTPUT,Segmentized,outputVector
native:serviceareafromlayer,OUTPUT,Service area (boundary nodes),outputVector
native:serviceareafromlayer,OUTPUT_LINES,Service area (lines),outputVector
native:serviceareafrompoint,OUTPUT,Service area (boundary nodes),outputVector
native:serviceareafrompoint,OUTPUT_LINES,Service area (lines),outputVector
native:setlayerencoding,OUTPUT,Output layer,outputVector
native:setlayerstyle,OUTPUT,Styled,outputLayer
native:setmfromraster,OUTPUT,Draped,outputVector
native:setmvalue,OUTPUT,M Added,outputVector
native:setzfromraster,OUTPUT,Draped,outputVector
native:setzvalue,OUTPUT,Z Added,outputVector
native:shortestline,OUTPUT,Shortest lines,outputVector
native:shortestpathlayertopoint,OUTPUT,Shortest path,outputVector
native:shortestpathpointtolayer,OUTPUT,Shortest path,outputVector
native:shortestpathpointtopoint,OUTPUT,Shortest path,outputVector
native:shortestpathpointtopoint,TRAVEL_COST,Travel cost,outputNumber
native:shpencodinginfo,CPG_ENCODING,CPG Encoding,outputString
native:shpencodinginfo,ENCODING,Shapefile Encoding,outputString
native:shpencodinginfo,LDID_ENCODING,LDID Encoding,outputString
native:simplifygeometries,OUTPUT,Simplified,outputVector
native:singlesidedbuffer,OUTPUT,Buffered,outputVector
native:slope,OUTPUT,Slope,outputRaster
native:smoothgeometry,OUTPUT,Smoothed,outputVector
native:snapgeometries,OUTPUT,Snapped geometry,outputVector
native:snappointstogrid,OUTPUT,Snapped,outputVector
native:splitfeaturesbycharacter,OUTPUT,Split,outputVector
native:splitlinesbylength,OUTPUT,Split,outputVector
native:splitvectorlayer,OUTPUT,Output directory,outputFolder
native:splitvectorlayer,OUTPUT_LAYERS,Output layers,outputMultilayer
native:splitwithlines,OUTPUT,Split,outputVector
native:stdbscanclustering,NUM_CLUSTERS,Number of clusters,outputNumber
native:stdbscanclustering,OUTPUT,Clusters,outputVector
native:stringconcatenation,CONCATENATION,Concatenation,outputString
native:stylefromproject,COLORRAMPS,Color ramp count,outputNumber
native:stylefromproject,LABELSETTINGS,Label settings count,outputNumber
native:stylefromproject,OUTPUT,Output style database,outputFile
native:stylefromproject,SYMBOLS,Symbol count,outputNumber
native:stylefromproject,TEXTFORMATS,Text format count,outputNumber
native:subdivide,OUTPUT,Subdivided,outputVector
native:sumlinelengths,OUTPUT,Line length,outputVector
native:swapxy,OUTPUT,Swapped,outputVector
native:symmetricaldifference,OUTPUT,Symmetrical difference,outputVector
native:taperedbuffer,OUTPUT,Buffered,outputVector
native:tilesxyzdirectory,OUTPUT_DIRECTORY,Output directory,outputFolder
native:tilesxyzdirectory,OUTPUT_HTML,Output html (Leaflet),outputHtml
native:tilesxyzmbtiles,OUTPUT_FILE,Output,outputFile
native:tinmeshcreation,OUTPUT_MESH,Output file,outputFile
native:transect,OUTPUT,Transect,outputVector
native:transferannotationsfrommain,OUTPUT,New annotation layer,outputLayer
native:translategeometry,OUTPUT,Translated,outputVector
native:truncatetable,OUTPUT,Truncated layer,outputVector
native:union,OUTPUT,Union,outputVector
native:virtualrastercalc,OUTPUT,Calculated,outputRaster
native:voronoipolygons,OUTPUT,Voronoi polygons,outputVector
native:wedgebuffers,OUTPUT,Buffers,outputVector
native:writevectortiles_mbtiles,OUTPUT,Destination MBTiles,outputVectorTile
native:writevectortiles_xyz,OUTPUT_DIRECTORY,Output directory,outputFolder
native:zonalhistogram,OUTPUT,Output zones,outputVector
native:zonalstatistics,INPUT_VECTOR,Zonal statistics,outputVector
native:zonalstatisticsfb,OUTPUT,Zonal Statistics,outputVector
otb:BandMath,out,Output Image,outputRaster
otb:BandMathX,out,Output Image,outputRaster
otb:BandMathX,outcontext,Export context,outputFile
otb:BinaryMorphologicalOperation,out,Output Image,outputRaster
otb:BlockMatching,io.out,The output disparity map,outputRaster
otb:BlockMatching,io.outmask,The output mask corresponding to all criterions,outputRaster
otb:BundleToPerfectSensor,out,Output image,outputRaster
otb:ClassificationMapRegularization,io.out,Output regularized image,outputRaster
otb:ColorMapping,out,Output Image,outputRaster
otb:ComputeConfusionMatrix,out,Matrix output,outputFile
otb:ComputeImagesStatistics,out.xml,Output XML file,outputFile
otb:ComputeModulusAndPhase,modulus,Modulus,outputRaster
otb:ComputeModulusAndPhase,phase,Phase,outputRaster
otb:ComputeOGRLayersFeaturesStatistics,outstats,Output XML file,outputFile
otb:ConcatenateImages,out,Output Image,outputRaster
otb:ConcatenateVectorData,out,Concatenated output,outputVector
otb:ConnectedComponentSegmentation,out,Output Shape,outputVector
otb:ContrastEnhancement,out,Output Image,outputRaster
otb:Despeckle,out,Output Image,outputRaster
otb:DimensionalityReduction,method.pca.outeigenvalues,Output file containing eigenvalues (txt format),outputFile
otb:DimensionalityReduction,out,Output Image,outputRaster
otb:DimensionalityReduction,outinv, Inverse Output Image,outputRaster
otb:DimensionalityReduction,outmatrix,Transformation matrix output (text format),outputFile
otb:DisparityMapToElevationMap,io.out,Output elevation map,outputRaster
otb:DomainTransform,out,Output Image,outputRaster
otb:DynamicConvert,out,Output Image,outputRaster
otb:EdgeExtraction,out,Feature Output Image,outputRaster
otb:ExtractROI,out,Output Image,outputRaster
otb:FastNLMeans,out,Output Image,outputRaster
otb:FineRegistration,out,Output Image,outputRaster
otb:FineRegistration,wo,Output Warped Image,outputRaster
otb:FusionOfClassifications,out,The output classification image,outputRaster
otb:GeneratePlyFile,out,The output Ply file,outputFile
otb:GrayScaleMorphologicalOperation,out,Feature Output Image,outputRaster
otb:GridBasedImageResampling,io.out,Output Image,outputRaster
otb:HaralickTextureExtraction,out,Output Image,outputRaster
otb:HomologousPointsExtraction,out,Output file with tie points,outputFile
otb:HomologousPointsExtraction,outvector,Output vector file with tie points,outputFile
otb:HooverCompareSegmentation,outgt,Colored ground truth output,outputRaster
otb:HooverCompareSegmentation,outms,Colored machine segmentation output,outputRaster
otb:HyperspectralUnmixing,out,Output Image,outputRaster
otb:ImageClassifier,confmap,Confidence map,outputRaster
otb:ImageClassifier,out,Output Image,outputRaster
otb:ImageClassifier,probamap,Probability map,outputRaster
otb:ImageDimensionalityReduction,out,Output Image,outputRaster
otb:ImageEnvelope,out,Output Vector Data,outputVector
otb:ImageRegression,out,Output Image,outputRaster
otb:KmzExport,out,Output KMZ product,outputFile
otb:LSMSSegmentation,out,Output labeled Image,outputRaster
otb:LSMSSmallRegionsMerging,out,Output Image,outputRaster
otb:LSMSVectorization,out,Output GIS vector file,outputFile
otb:LargeScaleMeanShift,mode.raster.out,The output raster image,outputRaster
otb:LargeScaleMeanShift,mode.vector.out,Output GIS vector file,outputFile
otb:LineSegmentDetection,out,Output Detected lines,outputVector
otb:LocalRxDetection,out,Output Image,outputRaster
otb:LocalStatisticExtraction,out,Feature Output Image,outputRaster
otb:ManageNoData,out,Output Image,outputRaster
otb:MeanShiftSmoothing,fout,Spectral filtered output,outputRaster
otb:MeanShiftSmoothing,foutpos,Spatial filtered displacement output,outputRaster
otb:MorphologicalClassification,out,Output Image,outputRaster
otb:MorphologicalMultiScaleDecomposition,outconcave,Output Concave Image,outputRaster
otb:MorphologicalMultiScaleDecomposition,outconvex,Output Convex Image,outputRaster
otb:MorphologicalMultiScaleDecomposition,outleveling,Output Image,outputRaster
otb:MorphologicalProfilesAnalysis,out,Output Image,outputRaster
otb:Mosaic,out,Output image,outputRaster
otb:MultiImageSamplingRate,out,Output sampling rates,outputFile
otb:MultiResolutionPyramid,out,Output Image,outputRaster
otb:MultivariateAlterationDetector,out,Change Map,outputRaster
otb:OGRLayerClassifier,insvm,Input model filename,outputFile
otb:OSMDownloader,out,Output vector data,outputVector
otb:OrthoRectification,io.out,Output Image,outputRaster
otb:Pansharpening,out,Output image,outputRaster
otb:PantexTextureExtraction,out,Output Image,outputRaster
otb:PolygonClassStatistics,out,Output XML statistics file,outputFile
otb:Quicklook,out,Output Image,outputRaster
otb:RadiometricIndices,out,Output Image,outputRaster
otb:Rasterization,out,Output image,outputRaster
otb:ReadImageInfo,outgeom,Write the image metadata to a geom file,outputFile
otb:Rescale,out,Output Image,outputRaster
otb:ResetMargin,out,Output Image,outputRaster
otb:RigidTransformResample,out,Output image,outputRaster
otb:SARBurstExtraction,out,Output Image,outputRaster
otb:SARCalibration,out,Output Image,outputRaster
otb:SARConcatenateBursts,out,Output Image,outputRaster
otb:SARDeburst,out,Output Image,outputRaster
otb:SARDecompositions,out,Output Image,outputRaster
otb:SARPolarMatrixConvert,outc,Output Complex Image,outputRaster
otb:SARPolarMatrixConvert,outf,Output Real Image,outputRaster
otb:SARPolarSynth,out,Output Image,outputRaster
otb:SFSTextureExtraction,out,Feature Output Image,outputRaster
otb:SOMClassification,out,OutputImage,outputRaster
otb:SOMClassification,som,SOM Map,outputRaster
otb:SampleAugmentation,out,Output samples,outputFile
otb:SampleExtraction,out,Output samples,outputFile
otb:SampleSelection,out,Output vectors,outputFile
otb:SampleSelection,outrates,Output rates,outputFile
otb:Segmentation,mode.raster.out,Output labeled image,outputRaster
otb:Segmentation,mode.vector.out,Output vector file,outputFile
otb:SmallRegionsMerging,out,Output Image,outputRaster
otb:Smoothing,out,Output Image,outputRaster
otb:SpectralAngleClassification,measure,Output spectral angle values,outputRaster
otb:SpectralAngleClassification,out,Output classified image,outputRaster
otb:SplitImage,out,Output Image,outputRaster
otb:StereoFramework,output.out,Output DSM,outputRaster
otb:StereoRectificationGridGenerator,inverse.outleft,Left inverse deformation grid,outputRaster
otb:StereoRectificationGridGenerator,inverse.outright,Right inverse deformation grid,outputRaster
otb:StereoRectificationGridGenerator,io.outleft,Left output deformation grid,outputRaster
otb:StereoRectificationGridGenerator,io.outright,Right output deformation grid,outputRaster
otb:Superimpose,out,Output image,outputRaster
otb:Synthetize,out,Output Image,outputRaster
otb:TileFusion,out,Output Image,outputRaster
otb:TrainDimensionalityReduction,io.out,Output model,outputFile
otb:TrainImagesClassifier,io.confmatout,Output confusion matrix or contingency table,outputFile
otb:TrainImagesClassifier,io.out,Output model,outputFile
otb:TrainImagesRegression,io.out,Output model,outputFile
otb:TrainRegression,io.out,Output regression model,outputFile
otb:TrainVectorClassifier,io.confmatout,Output confusion matrix or contingency table,outputFile
otb:TrainVectorClassifier,io.out,Output model,outputFile
otb:TrainVectorRegression,io.out,Output model,outputFile
otb:VectorClassifier,out,Output vector data file,outputFile
otb:VectorDataExtractROI,io.out,Output Vector data,outputVector
otb:VectorDataReprojection,out.vd,Output vector data,outputFile
otb:VectorDataSetField,out,Output,outputVector
otb:VectorDataTransform,out,Output Vector data,outputVector
otb:VectorDimensionalityReduction,out,Output vector data file containing the reduced vector,outputFile
otb:VectorRegression,out,Output vector data file,outputFile
otb:VertexComponentAnalysis,outendm,Output Endmembers,outputRaster
otb:ZonalStatistics,out.raster.filename,File name for the raster image,outputRaster
otb:ZonalStatistics,out.vector.filename,Filename for the output vector data,outputVector
pcraster:Slope,OUTPUT,Slope layer,outputRaster
pcraster:abs,OUTPUT,Output absolute value layer,outputRaster
pcraster:accucapacityflux,OUTPUT,Output Material Flux Raster Layer,outputRaster
pcraster:accucapacityflux,OUTPUT2,Output State Raster Layer,outputRaster
pcraster:accuflux,OUTPUT,Result flux layer,outputRaster
pcraster:accufractionflux,OUTPUT,Output Material Flux Raster Layer,outputRaster
pcraster:accufractionflux,OUTPUT2,Output State Raster Layer,outputRaster
pcraster:accuthresholdflux,OUTPUT,Output Material Flux Raster Layer,outputRaster
pcraster:accuthresholdflux,OUTPUT2,Output State Raster Layer,outputRaster
pcraster:accutraveltimeflux,OUTPUT,Output Material Flux Raster Layer,outputRaster
pcraster:accutraveltimeflux,OUTPUT2,Output State Raster Layer,outputRaster
pcraster:accutraveltimefractionflux,OUTPUT,Output Material Flux Raster Layer,outputRaster
pcraster:accutraveltimefractionflux,OUTPUT2,Output State Raster Layer,outputRaster
pcraster:accutraveltimefractionflux,OUTPUT3,Output Removed Raster Layer,outputRaster
pcraster:accutriggerflux,OUTPUT,Output Material Flux Raster Layer,outputRaster
pcraster:accutriggerflux,OUTPUT2,Output State Raster Layer,outputRaster
pcraster:acos,OUTPUT,Output Inverse Cosine Layer,outputRaster
pcraster:areaarea,OUTPUT,Output area layer,outputRaster
pcraster:areaaverage,OUTPUT,Output area average layer,outputRaster
pcraster:areadiversity,OUTPUT,Output area diversity layer,outputRaster
pcraster:areamajority,OUTPUT,Output area majority layer,outputRaster
pcraster:areamaximum,OUTPUT,Output area maximum layer,outputRaster
pcraster:areaminimum,OUTPUT,Output area minimum layer,outputRaster
pcraster:areanormal,OUTPUT,Output area normal layer,outputRaster
pcraster:areaorder,OUTPUT,Output area order layer,outputRaster
pcraster:areatotal,OUTPUT,Output area total layer,outputRaster
pcraster:areauniform,OUTPUT,Output area uniform layer,outputRaster
pcraster:asin,OUTPUT,Output Inverse Sine Layer,outputRaster
pcraster:aspect,OUTPUT,Aspect layer,outputRaster
pcraster:atan,OUTPUT,Output Inverse Tangent Layer,outputRaster
pcraster:booleanoperators,OUTPUT,Output Boolean raster,outputRaster
pcraster:catchment,OUTPUT,Catchment layer,outputRaster
pcraster:catchmenttotal,OUTPUT,Result catchment total layer,outputRaster
pcraster:cellarea,OUTPUT,Output cellarea layer,outputRaster
pcraster:celllength,OUTPUT,Output celllength layer,outputRaster
pcraster:clump,OUTPUT,Clump layer,outputRaster
pcraster:col2map,OUTPUT,PCRaster layer,outputRaster
pcraster:comparisonoperators,OUTPUT,Output Boolean raster,outputRaster
pcraster:convertdatatype,OUTPUT,Output raster layer,outputRaster
pcraster:converttopcrasterformat,OUTPUT,PCRaster layer,outputRaster
pcraster:cos,OUTPUT,Output Cosine layer,outputRaster
pcraster:cover,OUTPUT,Output Raster Layer,outputRaster
pcraster:defined,OUTPUT,Output boolean layer,outputRaster
pcraster:downstream,OUTPUT,Downstream layer,outputRaster
pcraster:downstreamdist,OUTPUT,Downstream distance layer,outputRaster
pcraster:exp,OUTPUT,Output exp layer,outputRaster
pcraster:extentofview,OUTPUT,Output extent of view layer,outputRaster
pcraster:fac,OUTPUT,Output fac layer,outputRaster
pcraster:horizontan,OUTPUT,Output horizontan layer,outputRaster
pcraster:ifthen,OUTPUT,Output Raster,outputRaster
pcraster:ifthenelse,OUTPUT,Output Raster,outputRaster
pcraster:inversedistance,OUTPUT,Inverse Distance Interpolation output,outputRaster
pcraster:lddcreate,OUTPUT,Local Drain Direction Layer,outputRaster
pcraster:lddcreatedem,OUTPUT,Filled DEM,outputRaster
pcraster:ldddist,OUTPUT,Result distance layer,outputRaster
pcraster:lddmask,OUTPUT,Result lddmask layer,outputRaster
pcraster:lddrepair,OUTPUT,Output lddrepair layer,outputRaster
pcraster:ln,OUTPUT,Output ln layer,outputRaster
pcraster:log10,OUTPUT,Output log10 layer,outputRaster
pcraster:lookup,OUTPUT,Output Raster Layer,outputRaster
pcraster:lookuplinear,OUTPUT,Output Raster Layer,outputRaster
pcraster:lookuptablefromrat,OUTPUT,Output Lookup Table,outputFile
pcraster:map2col,OUTPUT,Output textfile with columns,outputFile
pcraster:maparea,OUTPUT,Output area layer,outputRaster
pcraster:mapmaximum,OUTPUT,Output maximum value layer,outputRaster
pcraster:mapminimum,OUTPUT,Output minimum value layer,outputRaster
pcraster:mapnormal,OUTPUT,Output map normal layer,outputRaster
pcraster:maptotal,OUTPUT,Output map total layer,outputRaster
pcraster:mapuniform,OUTPUT,Output uniform layer,outputRaster
pcraster:nodirection,OUTPUT,Output no direction raster,outputRaster
pcraster:normal,OUTPUT,Normal output layer,outputRaster
pcraster:order,OUTPUT,Output order layer,outputRaster
pcraster:path,OUTPUT,Result path layer,outputRaster
pcraster:pit,OUTPUT,Output pit raster layer,outputRaster
pcraster:plancurv,OUTPUT,Output planform curvature layer,outputRaster
pcraster:pred,OUTPUT,Output pred layer,outputRaster
pcraster:profcurv,OUTPUT,Output profile curvature layer,outputRaster
pcraster:resample,OUTPUT,Output resample raster layer,outputRaster
pcraster:rounddown,OUTPUT,Output rounddown layer,outputRaster
pcraster:roundoff,OUTPUT,Output roundoff layer,outputRaster
pcraster:roundup,OUTPUT,Output roundup layer,outputRaster
pcraster:sin,OUTPUT,Output Sine layer,outputRaster
pcraster:slopelength,OUTPUT,Result slope length layer,outputRaster
pcraster:spatial,OUTPUT,Output raster layer,outputRaster
pcraster:spread,OUTPUT,Output shortest accumulated friction path,outputRaster
pcraster:spreadldd,OUTPUT,Output spread ldd result,outputRaster
pcraster:spreadlddzone,OUTPUT,Output spread ldd zone result,outputRaster
pcraster:spreadmax,OUTPUT,Output spread max result,outputRaster
pcraster:spreadmaxzone,OUTPUT,Output spread max zone result,outputRaster
pcraster:spreadzone,OUTPUT,Output spread zone layer,outputRaster
pcraster:sqr,OUTPUT,Output Square layer,outputRaster
pcraster:sqrt,OUTPUT,Output sqrt layer,outputRaster
pcraster:streamorder,OUTPUT,Stream Order layer,outputRaster
pcraster:subcatchment,OUTPUT,(Sub)catchment layer,outputRaster
pcraster:succ,OUTPUT,Output succ layer,outputRaster
pcraster:tan,OUTPUT,Output Tangent layer,outputRaster
pcraster:transient,OUTPUT,Output Transient Raster Layer,outputRaster
pcraster:uniform,OUTPUT,Uniform layer,outputRaster
pcraster:uniqueid,OUTPUT,Output unique id raster,outputRaster
pcraster:upstream,OUTPUT,Upstream layer,outputRaster
pcraster:view,OUTPUT,Viewshed layer,outputRaster
pcraster:window4total,OUTPUT,Output window4total layer,outputRaster
pcraster:windowaverage,OUTPUT,Window Average Layer,outputRaster
pcraster:windowdiversity,OUTPUT,Window Diversity Layer,outputRaster
pcraster:windowhighpass,OUTPUT,Window High Pass Layer,outputRaster
pcraster:windowmajority,OUTPUT,Window Majority Layer,outputRaster
pcraster:windowmaximum,OUTPUT,Window Maximum Layer,outputRaster
pcraster:windowminimum,OUTPUT,Window Minimum Layer,outputRaster
pcraster:windowtotal,OUTPUT,Window Total Layer,outputRaster
pdal:assignprojection,OUTPUT,Output layer,outputPointCloud
pdal:boundary,OUTPUT,Boundary,outputVector
pdal:clip,OUTPUT,Clipped,outputPointCloud
pdal:convertformat,OUTPUT,Converted,outputPointCloud
pdal:createcopc,OUTPUT,Output directory,outputFolder
pdal:createcopc,OUTPUT_LAYERS,Output layers,outputMultilayer
pdal:density,OUTPUT,Density,outputRaster
pdal:exportraster,OUTPUT,Exported,outputRaster
pdal:exportrastertin,OUTPUT,Exported (using triangulation),outputRaster
pdal:exportvector,OUTPUT,Exported,outputVector
pdal:filter,OUTPUT,Filtered,outputPointCloud
pdal:info,OUTPUT,Layer information,outputHtml
pdal:merge,OUTPUT,Merged,outputPointCloud
pdal:reproject,OUTPUT,Reprojected,outputPointCloud
pdal:thinbydecimate,OUTPUT,Thinned (by decimation),outputPointCloud
pdal:thinbyradius,OUTPUT,Thinned (by radius),outputPointCloud
pdal:tile,OUTPUT,Output directory,outputFolder
pdal:virtualpointcloud,OUTPUT,Virtual point cloud,outputPointCloud
qgis:advancedpythonfieldcalculator,OUTPUT,Calculated,outputVector
qgis:barplot,OUTPUT,Bar plot,outputHtml
qgis:basicstatisticsforfields,COUNT,Count,outputNumber
qgis:basicstatisticsforfields,CV,Coefficient of Variation,outputNumber
qgis:basicstatisticsforfields,EMPTY,Number of empty (null) values,outputNumber
qgis:basicstatisticsforfields,FILLED,Number of non-empty values,outputNumber
qgis:basicstatisticsforfields,FIRSTQUARTILE,First quartile,outputNumber
qgis:basicstatisticsforfields,IQR,Interquartile Range (IQR),outputNumber
qgis:basicstatisticsforfields,MAJORITY,Majority (most frequently occurring value),outputNumber
qgis:basicstatisticsforfields,MAX,Maximum value,outputNumber
qgis:basicstatisticsforfields,MAX_LENGTH,Maximum length,outputNumber
qgis:basicstatisticsforfields,MEAN,Mean value,outputNumber
qgis:basicstatisticsforfields,MEAN_LENGTH,Mean length,outputNumber
qgis:basicstatisticsforfields,MEDIAN,Median,outputNumber
qgis:basicstatisticsforfields,MIN,Minimum value,outputNumber
qgis:basicstatisticsforfields,MINORITY,Minority (rarest occurring value),outputNumber
qgis:basicstatisticsforfields,MIN_LENGTH,Minimum length,outputNumber
qgis:basicstatisticsforfields,OUTPUT_HTML_FILE,Statistics,outputHtml
qgis:basicstatisticsforfields,RANGE,Range,outputNumber
qgis:basicstatisticsforfields,STD_DEV,Standard deviation,outputNumber
qgis:basicstatisticsforfields,SUM,Sum,outputNumber
qgis:basicstatisticsforfields,THIRDQUARTILE,Third quartile,outputNumber
qgis:basicstatisticsforfields,UNIQUE,Number of unique values,outputNumber
qgis:boxplot,OUTPUT,Box plot,outputHtml
qgis:checkvalidity,ERROR_COUNT,Count of errors,outputNumber
qgis:checkvalidity,ERROR_OUTPUT,Error output,outputVector
qgis:checkvalidity,INVALID_COUNT,Count of invalid features,outputNumber
qgis:checkvalidity,INVALID_OUTPUT,Invalid output,outputVector
qgis:checkvalidity,VALID_COUNT,Count of valid features,outputNumber
qgis:checkvalidity,VALID_OUTPUT,Valid output,outputVector
qgis:climbalongline,MAXELEVATION,Maximum elevation,outputNumber
qgis:climbalongline,MINELEVATION,Minimum elevation,outputNumber
qgis:climbalongline,OUTPUT,Climb layer,outputVector
qgis:climbalongline,TOTALCLIMB,Total climb,outputNumber
qgis:climbalongline,TOTALDESCENT,Total descent,outputNumber
qgis:convertgeometrytype,OUTPUT,Converted,outputVector
qgis:definecurrentprojection,INPUT,Layer with projection,outputVector
qgis:distancematrix,OUTPUT,Distance matrix,outputVector
qgis:distancetonearesthublinetohub,OUTPUT,Hub distance,outputVector
qgis:distancetonearesthubpoints,OUTPUT,Hub distance,outputVector
qgis:executesql,OUTPUT,SQL Output,outputVector
qgis:exportaddgeometrycolumns,OUTPUT,Added geom info,outputVector
qgis:findprojection,OUTPUT,CRS candidates,outputVector
qgis:generatepointspixelcentroidsalongline,OUTPUT,Points along lines,outputVector
qgis:heatmapkerneldensityestimation,OUTPUT,Heatmap,outputRaster
qgis:hypsometriccurves,OUTPUT_DIRECTORY,Hypsometric curves,outputFolder
qgis:idwinterpolation,OUTPUT,Interpolated,outputRaster
qgis:linestopolygons,OUTPUT,Polygons,outputVector
qgis:listuniquevalues,OUTPUT,Unique values,outputVector
qgis:listuniquevalues,OUTPUT_HTML_FILE,HTML report,outputHtml
qgis:listuniquevalues,TOTAL_VALUES,Total unique values,outputNumber
qgis:listuniquevalues,UNIQUE_VALUES,Unique values,outputString
qgis:meanandstandarddeviationplot,OUTPUT,Plot,outputHtml
