algorithm,name,description,qgis_type
native:randomextract,METHOD,Method,enum
native:randompointsinextent,EXTENT,Input extent,extent
native:randompointsinextent,POINTS_NUMBER,Number of points,number
native:randompointsinextent,MIN_DISTANCE,Minimum distance between points,distance
native:randompointsinextent,TARGET_CRS,Target CRS,crs
native:randompointsinextent,MAX_ATTEMPTS,Maximum number of search attempts given the minimum distance,number
native:randompointsinextent,OUTPUT,Random points,sink
native:randompointsinpolygons,INPUT,Input polygon layer,source
native:randompointsinpolygons,POINTS_NUMBER,Number of points for each feature,number
native:randompointsinpolygons,MIN_DISTANCE,Minimum distance between points,distance
native:randompointsinpolygons,MIN_DISTANCE_GLOBAL,Global minimum distance between points,distance
native:randompointsinpolygons,SEED,Random seed,number
native:randompointsinpolygons,INCLUDE_POLYGON_ATTRIBUTES,Include polygon attributes,boolean
native:randompointsinpolygons,OUTPUT,Random points in polygons,sink
native:randompointsonlines,INPUT,Input line layer,source
native:randompointsonlines,POINTS_NUMBER,Number of points for each feature,number
native:randompointsonlines,MIN_DISTANCE,Minimum distance between points,distance
native:randompointsonlines,MIN_DISTANCE_GLOBAL,Global minimum distance between points,distance
native:randompointsonlines,SEED,Random seed,number
native:randompointsonlines,INCLUDE_LINE_ATTRIBUTES,Include line attributes,boolean
native:randompointsonlines,OUTPUT,Random points on lines,sink
native:rasterbooleanand,INPUT,Input layers,multilayer
native:rasterbooleanand,REF_LAYER,Reference layer,raster
native:rasterbooleanand,NODATA_AS_FALSE,Treat nodata values as false,boolean
native:rasterbooleanand,NO_DATA,Output no data value,number
native:rasterbooleanand,DATA_TYPE,Output data type,enum
native:rasterbooleanand,OUTPUT,Output layer,rasterDestination
native:rasterize,EXTENT,Minimum extent to render,extent
native:rasterize,EXTENT_BUFFER,Buffer around tiles in map units,number
native:rasterize,TILE_SIZE,Tile size,number
native:rasterize,MAP_UNITS_PER_PIXEL,Map units per pixel,number
native:rasterize,MAKE_BACKGROUND_TRANSPARENT,Make background transparent,boolean
native:rasterize,MAP_THEME,Map theme to render,maptheme
native:rasterize,LAYERS,Layers to render,multilayer
native:rasterize,OUTPUT,Output layer,rasterDestination
native:rasterlayerstatistics,INPUT,Input layer,raster
native:rasterlayerstatistics,BAND,Band number,band
native:rasterlayerstatistics,OUTPUT_HTML_FILE,Statistics,fileDestination
native:rasterlayeruniquevaluesreport,INPUT,Input layer,raster
native:rasterlayeruniquevaluesreport,BAND,Band number,band
native:rasterlayeruniquevaluesreport,OUTPUT_HTML_FILE,Unique values report,fileDestination
native:rasterlayeruniquevaluesreport,OUTPUT_TABLE,Unique values table,sink
native:rasterlayerzonalstats,INPUT,Input layer,raster
native:rasterlayerzonalstats,BAND,Band number,band
native:rasterlayerzonalstats,ZONES,Zones layer,raster
native:rasterlayerzonalstats,ZONES_BAND,Zones band number,band
native:rasterlayerzonalstats,REF_LAYER,Reference layer,enum
native:rasterlayerzonalstats,OUTPUT_TABLE,Statistics,sink
native:rasterlogicalor,INPUT,Input layers,multilayer
native:rasterlogicalor,REF_LAYER,Reference layer,raster
native:rasterlogicalor,NODATA_AS_FALSE,Treat nodata values as false,boolean
native:rasterlogicalor,NO_DATA,Output no data value,number
native:rasterlogicalor,DATA_TYPE,Output data type,enum
native:rasterlogicalor,OUTPUT,Output layer,rasterDestination
native:rastersampling,INPUT,Input layer,source
native:rastersampling,RASTERCOPY,Raster layer,raster
native:rastersampling,COLUMN_PREFIX,Output column prefix,string
native:rastersampling,OUTPUT,Sampled,sink
native:rastersurfacevolume,INPUT,Input layer,raster
native:rastersurfacevolume,BAND,Band number,band
native:rastersurfacevolume,LEVEL,Base level,number
native:rastersurfacevolume,METHOD,Method,enum
native:rastersurfacevolume,OUTPUT_HTML_FILE,Surface volume report,fileDestination
native:rastersurfacevolume,OUTPUT_TABLE,Surface volume table,sink
native:reclassifybylayer,INPUT_RASTER,Raster layer,raster
native:reclassifybylayer,RASTER_BAND,Band number,band
native:reclassifybylayer,INPUT_TABLE,Layer containing class breaks,source
native:reclassifybylayer,MIN_FIELD,Minimum class value field,field
native:reclassifybylayer,MAX_FIELD,Maximum class value field,field
native:reclassifybylayer,VALUE_FIELD,Output value field,field
native:reclassifybylayer,NO_DATA,Output no data value,number
native:reclassifybylayer,RANGE_BOUNDARIES,Range boundaries,enum
native:reclassifybylayer,NODATA_FOR_MISSING,Use no data when no range matches value,boolean
native:reclassifybylayer,DATA_TYPE,Output data type,enum
native:reclassifybylayer,OUTPUT,Reclassified raster,rasterDestination
native:reclassifybytable,INPUT_RASTER,Raster layer,raster
native:reclassifybytable,RASTER_BAND,Band number,band
native:reclassifybytable,TABLE,Reclassification table,matrix
native:reclassifybytable,NO_DATA,Output no data value,number
native:reclassifybytable,RANGE_BOUNDARIES,Range boundaries,enum
native:reclassifybytable,NODATA_FOR_MISSING,Use no data when no range matches value,boolean
native:reclassifybytable,DATA_TYPE,Output data type,enum
native:reclassifybytable,OUTPUT,Reclassified raster,rasterDestination
native:rectanglesovalsdiamonds,INPUT,Input layer,source
native:rectanglesovalsdiamonds,SHAPE,Shape,enum
native:rectanglesovalsdiamonds,WIDTH,Width,distance
native:rectanglesovalsdiamonds,HEIGHT,Height,distance
native:rectanglesovalsdiamonds,ROTATION,Rotation,number
native:rectanglesovalsdiamonds,SEGMENTS,Segments,number
native:rectanglesovalsdiamonds,OUTPUT,Polygon,sink
native:refactorfields,INPUT,Input layer,source
native:refactorfields,FIELDS_MAPPING,Fields mapping,fields_mapping
native:refactorfields,OUTPUT,Refactored,sink
native:removeduplicatesbyattribute,INPUT,Input layer,source
native:removeduplicatesbyattribute,FIELDS,Field to match duplicates by,field
native:removeduplicatevertices,INPUT,Input layer,source
native:removeduplicatevertices,TOLERANCE,Tolerance,distance
native:removeduplicatevertices,USE_Z_VALUE,Use Z Value,boolean
native:removeduplicatevertices,OUTPUT,Cleaned,sink
native:removenullgeometries,INPUT,Input layer,source
native:removenullgeometries,REMOVE_EMPTY,Also remove empty geometries,boolean
native:removenullgeometries,OUTPUT,Non null geometries,sink
native:removenullgeometries,NULL_OUTPUT,Null geometries,sink
native:renametablefield,INPUT,Input layer,source
native:renametablefield,FIELD,Field to rename,field
native:renametablefield,NEW_NAME,New field name,string
native:renametablefield,OUTPUT,Renamed,sink
native:repairshapefile,INPUT,Input Shapefile,file
native:reprojectlayer,INPUT,Input layer,source
native:reprojectlayer,TARGET_CRS,Target CRS,crs
native:reprojectlayer,OPERATION,Coordinate operation,coordinateoperation
native:reprojectlayer,OUTPUT,Reprojected,sink
native:rescaleraster,INPUT,Input raster,raster
native:rescaleraster,BAND,Band number,band
native:rescaleraster,MINIMUM,New minimum value,number
native:rescaleraster,MAXIMUM,New maximum value,number
native:rescaleraster,NODATA,New NODATA value,number
native:rescaleraster,OUTPUT,Rescaled,rasterDestination
native:reverselinedirection,INPUT,Input layer,source
native:reverselinedirection,OUTPUT,Reversed,sink
native:rotatefeatures,INPUT,Input layer,source
native:rotatefeatures,ANCHOR,Rotation anchor point,point
native:rotatefeatures,OUTPUT,Rotated,sink
native:roundrastervalues,INPUT,Input raster,raster
native:roundrastervalues,BAND,Band number,band
native:roundrastervalues,ROUNDING_DIRECTION,Rounding direction,enum
native:roundrastervalues,DECIMAL_PLACES,Number of decimals places,number
native:roundrastervalues,OUTPUT,Output raster,rasterDestination
native:roundrastervalues,BASE_N,Base n for rounding to multiples of n,number
native:ruggednessindex,INPUT,Elevation layer,raster
native:ruggednessindex,Z_FACTOR,Z factor,number
native:ruggednessindex,OUTPUT,Ruggedness,rasterDestination
native:savefeatures,INPUT,Vector features,source
native:savefeatures,OUTPUT,Saved features,fileDestination
native:savefeatures,LAYER_NAME,Layer name,string
native:saveselectedfeatures,INPUT,Input layer,vector
native:saveselectedfeatures,OUTPUT,Selected features,sink
native:segmentizebymaxangle,INPUT,Input layer,source
native:segmentizebymaxangle,OUTPUT,Segmentized,sink
native:segmentizebymaxdistance,INPUT,Input layer,source
native:segmentizebymaxdistance,DISTANCE,Maximum offset distance,distance
native:segmentizebymaxdistance,OUTPUT,Segmentized,sink
native:serviceareafromlayer,INPUT,Vector layer representing network,source
native:serviceareafromlayer,STRATEGY,Path type to calculate,enum
native:serviceareafromlayer,DIRECTION_FIELD,Direction field,field
native:serviceareafromlayer,VALUE_FORWARD,Value for forward direction,string
native:serviceareafromlayer,VALUE_BACKWARD,Value for backward direction,string
native:serviceareafromlayer,VALUE_BOTH,Value for both directions,string
native:serviceareafromlayer,DEFAULT_DIRECTION,Default direction,enum
native:serviceareafromlayer,SPEED_FIELD,Speed field,field
native:serviceareafromlayer,TOLERANCE,Topology tolerance,distance
native:serviceareafromlayer,START_POINTS,Vector layer with start points,source
native:serviceareafrompoint,INPUT,Vector layer representing network,source
native:serviceareafrompoint,STRATEGY,Path type to calculate,enum
native:serviceareafrompoint,DIRECTION_FIELD,Direction field,field
native:serviceareafrompoint,VALUE_FORWARD,Value for forward direction,string
native:serviceareafrompoint,VALUE_BACKWARD,Value for backward direction,string
native:serviceareafrompoint,VALUE_BOTH,Value for both directions,string
native:serviceareafrompoint,DEFAULT_DIRECTION,Default direction,enum
native:serviceareafrompoint,SPEED_FIELD,Speed field,field
native:serviceareafrompoint,TOLERANCE,Topology tolerance,distance
native:serviceareafrompoint,START_POINT,Start point,point
native:setlayerencoding,INPUT,Input layer,vector
native:setlayerencoding,ENCODING,Encoding,string
native:setlayerstyle,INPUT,Layer,layer
native:setlayerstyle,STYLE,Style file,file
native:setmfromraster,INPUT,Input layer,source
native:setmfromraster,RASTER,Raster layer,raster
native:setmfromraster,BAND,Band number,band
native:setmfromraster,NODATA,Value for nodata or non-intersecting vertices,number
native:setmfromraster,SCALE,Scale factor,number
native:setmfromraster,OUTPUT,Draped,sink
native:setmvalue,INPUT,Input layer,source
native:setmvalue,M_VALUE,M Value,number
native:setmvalue,OUTPUT,M Added,sink
native:setzfromraster,INPUT,Input layer,source
native:setzfromraster,RASTER,Raster layer,raster
native:setzfromraster,BAND,Band number,band
native:setzfromraster,NODATA,Value for nodata or non-intersecting vertices,number
native:setzfromraster,SCALE,Scale factor,number
native:setzfromraster,OUTPUT,Draped,sink
native:setzvalue,INPUT,Input layer,source
native:setzvalue,Z_VALUE,Z Value,number
native:setzvalue,OUTPUT,Z Added,sink
native:shortestpathlayertopoint,INPUT,Vector layer representing network,source
native:shortestpathlayertopoint,STRATEGY,Path type to calculate,enum
native:shortestpathlayertopoint,DIRECTION_FIELD,Direction field,field
native:shortestpathlayertopoint,VALUE_FORWARD,Value for forward direction,string
native:shortestpathlayertopoint,VALUE_BACKWARD,Value for backward direction,string
native:shortestpathlayertopoint,VALUE_BOTH,Value for both directions,string
native:shortestpathlayertopoint,DEFAULT_DIRECTION,Default direction,enum
native:shortestpathlayertopoint,SPEED_FIELD,Speed field,field
native:shortestpathlayertopoint,TOLERANCE,Topology tolerance,distance
native:shortestpathlayertopoint,START_POINTS,Vector layer with start points,source
native:shortestpathlayertopoint,END_POINT,End point,point
native:shortestpathlayertopoint,OUTPUT,Shortest path,sink
native:shortestpathpointtolayer,INPUT,Vector layer representing network,source
native:shortestpathpointtolayer,STRATEGY,Path type to calculate,enum
native:shortestpathpointtolayer,DIRECTION_FIELD,Direction field,field
native:shortestpathpointtolayer,VALUE_FORWARD,Value for forward direction,string
native:shortestpathpointtolayer,VALUE_BACKWARD,Value for backward direction,string
native:shortestpathpointtolayer,VALUE_BOTH,Value for both directions,string
native:shortestpathpointtolayer,DEFAULT_DIRECTION,Default direction,enum
native:shortestpathpointtolayer,SPEED_FIELD,Speed field,field
native:shortestpathpointtolayer,TOLERANCE,Topology tolerance,distance
native:shortestpathpointtolayer,START_POINT,Start point,point
native:shortestpathpointtolayer,END_POINTS,Vector layer with end points,source
native:shortestpathpointtolayer,OUTPUT,Shortest path,sink
native:shortestpathpointtopoint,INPUT,Vector layer representing network,source
native:shortestpathpointtopoint,STRATEGY,Path type to calculate,enum
native:shortestpathpointtopoint,DIRECTION_FIELD,Direction field,field
native:shortestpathpointtopoint,VALUE_FORWARD,Value for forward direction,string
native:shortestpathpointtopoint,VALUE_BACKWARD,Value for backward direction,string
native:shortestpathpointtopoint,VALUE_BOTH,Value for both directions,string
native:shortestpathpointtopoint,DEFAULT_DIRECTION,Default direction,enum
native:shortestpathpointtopoint,SPEED_FIELD,Speed field,field
native:shortestpathpointtopoint,TOLERANCE,Topology tolerance,distance
native:shortestpathpointtopoint,START_POINT,Start point,point
native:shortestpathpointtopoint,END_POINT,End point,point
native:shortestpathpointtopoint,OUTPUT,Shortest path,sink
native:shpencodinginfo,INPUT,Input layer,file
native:simplifygeometries,INPUT,Input layer,source
native:simplifygeometries,METHOD,Simplification method,enum
native:simplifygeometries,TOLERANCE,Tolerance,distance
native:simplifygeometries,OUTPUT,Simplified,sink
native:singlesidedbuffer,INPUT,Input layer,source
native:singlesidedbuffer,DISTANCE,Distance,distance
native:singlesidedbuffer,SIDE,Side,enum
native:singlesidedbuffer,SEGMENTS,Segments,number
native:singlesidedbuffer,JOIN_STYLE,Join style,enum
native:singlesidedbuffer,MITER_LIMIT,Miter limit,number
native:singlesidedbuffer,OUTPUT,Buffered,sink
native:slope,INPUT,Elevation layer,raster
native:slope,Z_FACTOR,Z factor,number
native:slope,OUTPUT,Slope,rasterDestination
native:smoothgeometry,INPUT,Input layer,source
native:smoothgeometry,ITERATIONS,Iterations,number
native:smoothgeometry,OFFSET,Offset,number
native:smoothgeometry,MAX_ANGLE,Maximum node angle to smooth,number
native:smoothgeometry,OUTPUT,Smoothed,sink
native:snapgeometries,INPUT,Input layer,source
native:snapgeometries,REFERENCE_LAYER,Reference layer,source
native:snapgeometries,TOLERANCE,Tolerance,distance
native:snapgeometries,BEHAVIOR,Behavior,enum
native:snapgeometries,OUTPUT,Snapped geometry,sink
native:snappointstogrid,INPUT,Input layer,source
native:snappointstogrid,HSPACING,X Grid Spacing,distance
native:snappointstogrid,VSPACING,Y Grid Spacing,distance
native:snappointstogrid,ZSPACING,Z Grid Spacing,number
native:snappointstogrid,MSPACING,M Grid Spacing,number
native:snappointstogrid,OUTPUT,Snapped,sink
native:spatialiteexecutesql,SQL,SQL query,string
native:spatialiteexecutesqlregistered,SQL,SQL query,string
native:splitfeaturesbycharacter,INPUT,Input layer,source
native:splitfeaturesbycharacter,FIELD,Split using values in field,field
native:splitfeaturesbycharacter,CHAR,Split values using character,string
native:splitfeaturesbycharacter,REGEX,Use regular expression separator,boolean
native:splitfeaturesbycharacter,OUTPUT,Split,sink
native:splitlinesbylength,INPUT,Input layer,source
native:splitlinesbylength,LENGTH,Maximum line length,distance
native:splitlinesbylength,OUTPUT,Split,sink
native:splitvectorlayer,INPUT,Input layer,source
native:splitvectorlayer,FIELD,Unique ID field,field
native:splitvectorlayer,FILE_TYPE,Output file type,enum
native:splitvectorlayer,OUTPUT,Output directory,folderDestination
native:splitwithlines,INPUT,Input layer,source
native:splitwithlines,LINES,Split layer,source
native:splitwithlines,OUTPUT,Split,sink
native:stylefromproject,OUTPUT,Output style database,fileDestination
native:stylefromproject,OBJECTS,Objects to extract,enum
native:subdivide,INPUT,Input layer,source
native:subdivide,MAX_NODES,Maximum nodes in parts,number
native:subdivide,OUTPUT,Subdivided,sink
native:sumlinelengths,POLYGONS,Polygons,source
native:sumlinelengths,LINES,Lines,source
native:sumlinelengths,LEN_FIELD,Lines length field name,string
native:sumlinelengths,COUNT_FIELD,Lines count field name,string
native:sumlinelengths,OUTPUT,Line length,sink
native:swapxy,INPUT,Input layer,source
native:swapxy,OUTPUT,Swapped,sink
native:symmetricaldifference,INPUT,Input layer,source
native:symmetricaldifference,OVERLAY,Overlay layer,source
native:symmetricaldifference,OVERLAY_FIELDS_PREFIX,Overlay fields prefix,string
native:symmetricaldifference,OUTPUT,Symmetrical difference,sink
native:taperedbuffer,INPUT,Input layer,source
native:taperedbuffer,START_WIDTH,Start width,number
native:taperedbuffer,END_WIDTH,End width,number
native:taperedbuffer,SEGMENTS,Segments,number
native:taperedbuffer,OUTPUT,Buffered,sink
native:tinmeshcreation,SOURCE_DATA,Input layers,tininputlayers
native:tinmeshcreation,MESH_FORMAT,Output format,enum
native:tinmeshcreation,CRS_OUTPUT,Output Coordinate System,crs
native:tinmeshcreation,OUTPUT_MESH,Output File,fileDestination
native:transect,INPUT,Input layer,source
native:transect,LENGTH,Length of the transect,distance
native:transect,ANGLE,Angle in degrees from the original line at the vertices,number
native:transect,SIDE,Side to create the transects,enum
native:transect,OUTPUT,Transect,sink
native:translategeometry,INPUT,Input layer,source
native:translategeometry,OUTPUT,Translated,sink
native:truncatetable,INPUT,Input layer,vector
native:union,INPUT,Input layer,source
native:union,OVERLAY,Overlay layer,source
native:union,OVERLAY_FIELDS_PREFIX,Overlay fields prefix,string
native:union,OUTPUT,Union,sink
native:wedgebuffers,INPUT,Input layer,source
native:wedgebuffers,OUTER_RADIUS,Outer radius,number
native:wedgebuffers,INNER_RADIUS,Inner radius,number
native:wedgebuffers,OUTPUT,Buffers,sink
native:writevectortiles_mbtiles,OUTPUT,Destination MBTiles,fileDestination
native:writevectortiles_mbtiles,LAYERS,Input layers,vectortilewriterlayers
native:writevectortiles_mbtiles,MIN_ZOOM,Minimum zoom level,number
native:writevectortiles_mbtiles,MAX_ZOOM,Maximum zoom level,number
native:writevectortiles_mbtiles,EXTENT,Extent,extent
native:writevectortiles_xyz,OUTPUT_DIRECTORY,Output directory,folderDestination
native:writevectortiles_xyz,XYZ_TEMPLATE,File template,string
native:writevectortiles_xyz,LAYERS,Input layers,vectortilewriterlayers
native:writevectortiles_xyz,MIN_ZOOM,Minimum zoom level,number
native:writevectortiles_xyz,MAX_ZOOM,Maximum zoom level,number
native:writevectortiles_xyz,EXTENT,Extent,extent
native:zonalhistogram,INPUT_RASTER,Raster layer,raster
native:zonalhistogram,RASTER_BAND,Band number,band
native:zonalhistogram,INPUT_VECTOR,Vector layer containing zones,source
native:zonalhistogram,COLUMN_PREFIX,Output column prefix,string
native:zonalhistogram,OUTPUT,Output zones,sink
native:zonalstatisticsfb,INPUT,Input layer,source
native:zonalstatisticsfb,INPUT_RASTER,Raster layer,raster
native:zonalstatisticsfb,RASTER_BAND,Raster band,band
native:zonalstatisticsfb,COLUMN_PREFIX,Output column prefix,string
native:zonalstatisticsfb,STATISTICS,Statistics to calculate,enum
native:zonalstatisticsfb,OUTPUT,Zonal Statistics,sink
qgis:advancedpythonfieldcalculator,INPUT,Input layer,source
qgis:advancedpythonfieldcalculator,FIELD_NAME,Result field name,string
qgis:advancedpythonfieldcalculator,FIELD_TYPE,Field type,enum
qgis:advancedpythonfieldcalculator,FIELD_LENGTH,Field length,number
qgis:advancedpythonfieldcalculator,FIELD_PRECISION,Field precision,number
qgis:advancedpythonfieldcalculator,GLOBAL,Global expression,string
qgis:advancedpythonfieldcalculator,FORMULA,Formula,string
qgis:advancedpythonfieldcalculator,OUTPUT,Calculated,sink
qgis:barplot,INPUT,Input layer,source
qgis:barplot,NAME_FIELD,Category name field,field
qgis:barplot,VALUE_FIELD,Value field,field
qgis:barplot,OUTPUT,Bar plot,fileDestination
qgis:basicstatisticsforfields,INPUT_LAYER,Input layer,source
qgis:basicstatisticsforfields,FIELD_NAME,Field to calculate statistics on,field
qgis:basicstatisticsforfields,OUTPUT_HTML_FILE,Statistics,fileDestination
qgis:boxplot,INPUT,Input layer,source
qgis:boxplot,NAME_FIELD,Category name field,field
qgis:boxplot,VALUE_FIELD,Value field,field
qgis:boxplot,MSD,Additional Statistic Lines,enum
qgis:boxplot,OUTPUT,Box plot,fileDestination
qgis:checkvalidity,INPUT_LAYER,Input layer,source
qgis:checkvalidity,METHOD,Method,enum
qgis:checkvalidity,IGNORE_RING_SELF_INTERSECTION,Ignore ring self intersections,boolean
qgis:checkvalidity,VALID_OUTPUT,Valid output,sink
qgis:checkvalidity,INVALID_OUTPUT,Invalid output,sink
qgis:checkvalidity,ERROR_OUTPUT,Error output,sink
qgis:climbalongline,INPUT,Line layer,source
qgis:climbalongline,OUTPUT,Climb layer,sink
qgis:concavehull,INPUT,Input point layer,source
qgis:concavehull,HOLES,Allow holes,boolean
qgis:concavehull,NO_MULTIGEOMETRY,Split multipart geometry into singleparts geometries,boolean
qgis:concavehull,OUTPUT,Concave hull,sink
qgis:convertgeometrytype,INPUT,Input layer,source
qgis:convertgeometrytype,TYPE,New geometry type,enum
qgis:convertgeometrytype,OUTPUT,Converted,sink
qgis:definecurrentprojection,INPUT,Input Shapefile,vector
qgis:definecurrentprojection,CRS,CRS,crs
qgis:delaunaytriangulation,INPUT,Input layer,source
qgis:delaunaytriangulation,OUTPUT,Delaunay triangulation,sink
qgis:deletecolumn,INPUT,Input layer,source
qgis:deletecolumn,COLUMN,Fields to drop,field
qgis:deletecolumn,OUTPUT,Remaining fields,sink
qgis:distancematrix,INPUT,Input point layer,source
qgis:distancematrix,INPUT_FIELD,Input unique ID field,field
qgis:distancematrix,TARGET,Target point layer,source
qgis:distancematrix,TARGET_FIELD,Target unique ID field,field
qgis:distancematrix,MATRIX_TYPE,Output matrix type,enum
qgis:distancematrix,OUTPUT,Distance matrix,sink
qgis:distancetonearesthublinetohub,INPUT,Source points layer,source
qgis:distancetonearesthublinetohub,HUBS,Destination hubs layer,source
qgis:distancetonearesthublinetohub,FIELD,Hub layer name attribute,field
qgis:distancetonearesthublinetohub,UNIT,Measurement unit,enum
qgis:distancetonearesthublinetohub,OUTPUT,Hub distance,sink
qgis:distancetonearesthubpoints,INPUT,Source points layer,source
qgis:distancetonearesthubpoints,HUBS,Destination hubs layer,source
qgis:distancetonearesthubpoints,FIELD,Hub layer name attribute,field
qgis:distancetonearesthubpoints,UNIT,Measurement unit,enum
qgis:distancetonearesthubpoints,OUTPUT,Hub distance,sink
qgis:executesql,INPUT_QUERY,SQL query,execute_sql
qgis:executesql,INPUT_UID_FIELD,Unique identifier field,string
qgis:executesql,INPUT_GEOMETRY_FIELD,Geometry field,string
qgis:executesql,INPUT_GEOMETRY_TYPE,Geometry type,enum
qgis:executesql,INPUT_GEOMETRY_CRS,CRS,crs
qgis:executesql,OUTPUT,SQL Output,sink
qgis:exportaddgeometrycolumns,INPUT,Input layer,source
qgis:exportaddgeometrycolumns,CALC_METHOD,Calculate using,enum
qgis:exportaddgeometrycolumns,OUTPUT,Added geom info,sink
qgis:findprojection,INPUT,Input layer,source
qgis:findprojection,TARGET_AREA,Target area for layer,extent
qgis:findprojection,OUTPUT,CRS candidates,sink
qgis:generatepointspixelcentroidsalongline,INPUT_RASTER,Raster layer,raster
qgis:generatepointspixelcentroidsalongline,INPUT_VECTOR,Vector layer,source
qgis:generatepointspixelcentroidsalongline,OUTPUT,Points along lines,sink
qgis:heatmapkerneldensityestimation,INPUT,Point layer,source
qgis:heatmapkerneldensityestimation,RADIUS,Radius,distance
qgis:heatmapkerneldensityestimation,RADIUS_FIELD,Radius from field,field
qgis:heatmapkerneldensityestimation,PIXEL_SIZE,Output raster size,number
qgis:heatmapkerneldensityestimation,WEIGHT_FIELD,Weight from field,field
qgis:heatmapkerneldensityestimation,KERNEL,Kernel shape,enum
qgis:heatmapkerneldensityestimation,OUTPUT_VALUE,Output value scaling,enum
qgis:heatmapkerneldensityestimation,OUTPUT,Heatmap,rasterDestination
qgis:hypsometriccurves,INPUT_DEM,DEM to analyze,raster
qgis:hypsometriccurves,BOUNDARY_LAYER,Boundary layer,source
qgis:hypsometriccurves,STEP,Step,number
qgis:hypsometriccurves,OUTPUT_DIRECTORY,Hypsometric curves,folderDestination
qgis:idwinterpolation,DISTANCE_COEFFICIENT,Distance coefficient P,number
qgis:idwinterpolation,EXTENT,Extent,extent
qgis:idwinterpolation,PIXEL_SIZE,Output raster size,number
qgis:idwinterpolation,OUTPUT,Interpolated,rasterDestination
qgis:importintopostgis,INPUT,Layer to import,source
qgis:importintopostgis,PRIMARY_KEY,Primary key field,field
qgis:importintopostgis,GEOMETRY_COLUMN,Geometry column,string
qgis:importintopostgis,ENCODING,Encoding,string
qgis:importintopostgis,OVERWRITE,Overwrite,boolean
qgis:importintopostgis,CREATEINDEX,Create spatial index,boolean
qgis:importintopostgis,LOWERCASE_NAMES,Convert field names to lowercase,boolean
qgis:importintopostgis,DROP_STRING_LENGTH,Drop length constraints on character fields,boolean
qgis:importintopostgis,FORCE_SINGLEPART,Create single-part geometries instead of multi-part,boolean
qgis:importintospatialite,INPUT,Layer to import,source
qgis:importintospatialite,DATABASE,File database,vector
qgis:importintospatialite,PRIMARY_KEY,Primary key field,field
qgis:importintospatialite,GEOMETRY_COLUMN,Geometry column,string
qgis:importintospatialite,ENCODING,Encoding,string
qgis:importintospatialite,OVERWRITE,Overwrite,boolean
qgis:importintospatialite,CREATEINDEX,Create spatial index,boolean
qgis:importintospatialite,LOWERCASE_NAMES,Convert field names to lowercase,boolean
qgis:importintospatialite,DROP_STRING_LENGTH,Drop length constraints on character fields,boolean
qgis:importintospatialite,FORCE_SINGLEPART,Create single-part geometries instead of multi-part,boolean
qgis:joinbylocationsummary,INPUT,Input layer,source
qgis:joinbylocationsummary,JOIN,Join layer,source
qgis:joinbylocationsummary,PREDICATE,Geometric predicate,enum
qgis:joinbylocationsummary,DISCARD_NONMATCHING,Discard records which could not be joined,boolean
qgis:joinbylocationsummary,OUTPUT,Joined layer,sink
qgis:keepnbiggestparts,POLYGONS,Polygons,source
qgis:keepnbiggestparts,PARTS,Parts to keep,number
qgis:keepnbiggestparts,OUTPUT,Parts,sink
qgis:knearestconcavehull,INPUT,Input layer,source
qgis:knearestconcavehull,OUTPUT,Concave hull,sink
qgis:linestopolygons,INPUT,Input layer,source
qgis:linestopolygons,OUTPUT,Polygons,sink
qgis:listuniquevalues,INPUT,Input layer,source
qgis:listuniquevalues,OUTPUT,Unique values,sink
qgis:listuniquevalues,OUTPUT_HTML_FILE,HTML report,fileDestination
qgis:meanandstandarddeviationplot,INPUT,Input table,source
qgis:meanandstandarddeviationplot,NAME_FIELD,Category name field,field
qgis:meanandstandarddeviationplot,VALUE_FIELD,Value field,field
qgis:meanandstandarddeviationplot,OUTPUT,Plot,fileDestination
qgis:minimumboundinggeometry,INPUT,Input layer,source
qgis:minimumboundinggeometry,TYPE,Geometry type,enum
qgis:minimumboundinggeometry,OUTPUT,Bounding geometry,sink
qgis:pointsdisplacement,INPUT,Input layer,source
qgis:pointsdisplacement,PROXIMITY,Minimum distance to other points,distance
qgis:pointsdisplacement,DISTANCE,Displacement distance,distance
qgis:pointsdisplacement,HORIZONTAL,Horizontal distribution for two point case,boolean
qgis:pointsdisplacement,OUTPUT,Displaced,sink
qgis:pointstopath,INPUT,Input point layer,source
qgis:pointstopath,CLOSE_PATH,Close path,boolean
qgis:pointstopath,ORDER_FIELD,Order field,field
qgis:pointstopath,GROUP_FIELD,Group field,field
qgis:pointstopath,OUTPUT,Paths,sink
qgis:pointstopath,OUTPUT_TEXT_DIR,Directory for text output,folderDestination
qgis:polarplot,INPUT,Input layer,source
qgis:polarplot,NAME_FIELD,Category name field,field
qgis:polarplot,VALUE_FIELD,Value field,field
qgis:polarplot,OUTPUT,Polar plot,fileDestination
qgis:randomextractwithinsubsets,INPUT,Input layer,source
qgis:randomextractwithinsubsets,FIELD,ID field,field
qgis:randomextractwithinsubsets,METHOD,Method,enum
qgis:randompointsalongline,INPUT,Input layer,source
qgis:randompointsalongline,POINTS_NUMBER,Number of points,number
qgis:randompointsalongline,MIN_DISTANCE,Minimum distance between points,distance
qgis:randompointsalongline,OUTPUT,Random points,sink
qgis:randompointsinlayerbounds,INPUT,Input layer,source
qgis:randompointsinlayerbounds,POINTS_NUMBER,Number of points,number
qgis:randompointsinlayerbounds,MIN_DISTANCE,Minimum distance between points,distance
